client_id,email_address,email_permission
35621,lectus@quislectus.org,Y
80338,et.malesuada.fames@Aeneangravida.edu,N
18810,scelerisque.lorem.ipsum@arcuMorbisit.org,N
11670,nisi.sem@magnaa.edu,Y
16827,Mauris.blandit@neque.ca,N
38308,nostra.per@fames.edu,Y
96711,lorem.vitae.odio@pharetraut.com,N
15005,Aliquam.erat.volutpat@leoCrasvehicula.org,N
67374,urna@consectetueradipiscing.edu,Y
17449,bibendum@ullamcorperviverra.org,N
73826,urna@Proinvelit.org,Y
81616,nec@eliteratvitae.edu,Y
45299,placerat.augue.Sed@PhasellusornareFusce.com,Y
48304,euismod@maurisanunc.com,N
91909,odio@vulputateeu.org,N
45574,Pellentesque.habitant.morbi@rutrum.com,N
32963,accumsan@pretiumetrutrum.com,Y
90153,Morbi.sit.amet@Suspendissecommodo.ca,N
98329,bibendum.sed.est@Phasellusfermentumconvallis.edu,N
69518,Ut.tincidunt.vehicula@Nullamenim.edu,N
86379,molestie.tellus@nibhDonec.ca,Y
57277,Sed@ultriciesornare.com,Y
88093,urna.convallis@velconvallis.edu,Y
38023,metus.Vivamus@cursusinhendrerit.edu,N
65800,diam@senectus.edu,Y
67696,arcu.Morbi.sit@nibh.com,Y
60360,semper.rutrum.Fusce@tincidunt.ca,N
21539,cursus.luctus@Etiamimperdietdictum.ca,N
80717,scelerisque@amet.com,N
15800,Integer.in@sem.org,Y
03297,consectetuer.rhoncus@famesacturpis.org,Y
88810,rutrum.Fusce.dolor@gravidaAliquamtincidunt.edu,N
32389,dictum@Proinvelarcu.edu,N
68225,penatibus.et@non.edu,N
49064,id.risus.quis@ipsumnonarcu.com,N
33457,eu@Inmipede.com,N
56867,ac.fermentum.vel@eueleifendnec.ca,Y
47888,Morbi@Nulla.edu,N
70214,a@commodohendrerit.edu,N
50647,mattis.velit@a.edu,N
52753,lorem.fringilla@odio.org,N
91995,amet@necmalesuadaut.edu,N
12136,sit.amet@dolordapibusgravida.ca,N
59903,at@condimentumDonecat.ca,Y
65078,lorem.ipsum.sodales@duiCum.edu,N
88973,lorem@augue.ca,N
05074,Nullam.nisl@commodo.com,N
10711,orci@magnaa.edu,Y
31924,luctus.et@habitant.edu,Y
41482,ultricies@orciluctuset.ca,N
12720,Aliquam.rutrum.lorem@nonleoVivamus.edu,N
64362,bibendum.ullamcorper.Duis@ornare.com,N
14996,libero.nec@Sed.org,N
85208,aliquet@lectuspedeet.com,N
56608,eu.placerat.eget@sem.edu,N
13096,leo.Vivamus.nibh@netus.com,N
40294,erat@eratin.com,N
64078,Donec.est.mauris@afeugiattellus.org,Y
79513,Suspendisse.non@Maurisvestibulumneque.com,Y
28750,tempor@cubiliaCurae;Phasellus.edu,Y
39596,malesuada@dolor.ca,Y
15263,ac@temporbibendum.edu,Y
58886,malesuada@tellusfaucibus.edu,Y
13992,eget.varius@eueratsemper.com,Y
19315,aliquet@euultrices.org,Y
60477,ligula.elit.pretium@semegestas.edu,Y
69807,est@accumsaninterdum.edu,Y
66225,venenatis.a.magna@necmaurisblandit.ca,Y
12520,Cras.lorem.lorem@acfermentumvel.edu,N
06014,Vestibulum.accumsan.neque@dictumeu.edu,N
50847,Aenean@nuncrisusvarius.com,Y
62792,non@Proin.ca,Y
81604,nec.quam@arcueuodio.com,N
51489,sapien.Nunc.pulvinar@penatibuset.org,Y
47525,in@velesttempor.org,N
13553,Fusce.diam.nunc@aliquetnecimperdiet.edu,N
04960,quis.pede@odiosagittissemper.edu,N
68610,ornare.In@nisinibhlacinia.ca,Y
66670,rutrum.lorem.ac@urna.org,Y
07009,aliquet.odio@rhoncus.com,Y
61358,vitae.diam@malesuada.ca,N
51620,Sed@lacusvestibulumlorem.org,N
47874,rutrum.magna.Cras@eumetus.com,N
55359,leo.elementum@InfaucibusMorbi.edu,Y
00475,Integer@sempertellusid.com,Y
70502,elit.pede@dictumeleifend.com,N
59477,quis@nec.org,Y
55391,mi.pede.nonummy@eu.ca,Y
44175,neque.In.ornare@consequatenim.edu,Y
54520,Integer.aliquam@etrutrumnon.ca,Y
72469,nascetur@ornarelectus.com,Y
